"label","mean","lo","hi","group","converged","param"
"betaGDP | baseline (tight prior, full data)",-0.593695343824773,-0.668218320248137,-0.518571252264692,"baseline",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | 2016 excluded (tight prior)",-0.726843935515567,-0.824260650195134,-0.628114359853333,"2016-excluded",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | flat prior, chain 1",-0.593815728491744,-0.667991135810607,-0.518779997388278,"flat prior -- Mode A (theory-consistent)",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | flat prior, chain 2",-0.662298930375434,-0.80164701858329,-0.511785376108404,"flat prior -- Mode B (opposite sign)",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | flat prior, chain 3",-0.594086093569497,-0.671040151217137,-0.515627914799462,"flat prior -- Mode A (theory-consistent)",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | flat prior, chain 4",-0.665498672041321,-0.79341659609422,-0.511505318114412,"flat prior -- Mode B (opposite sign)",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | dispersed-init baseline, chain 1",-0.592686785160878,-0.668745879055855,-0.519856663827783,"dispersed-init baseline -- Mode A",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | dispersed-init baseline, chain 2",-0.592403398420388,-0.666085684971953,-0.517192381581341,"dispersed-init baseline -- Mode A",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | dispersed-init baseline, chain 3",-0.592833372967497,-0.667863830285234,-0.512811199440463,"dispersed-init baseline -- Mode A",TRUE,"betaGDP (GDP -> volatility)"
"betaGDP | dispersed-init baseline, chain 4",-0.652618016331498,-0.788993838127478,-0.515996528622903,"dispersed-init baseline -- stray chain",TRUE,"betaGDP (GDP -> volatility)"
"betaDebt | baseline (tight prior, full data)",0.109134044617609,0.0227162352691681,0.200925474409502,"baseline",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | 2016 excluded (tight prior)",-0.903021928267362,-1.03667039043908,-0.76941177487148,"2016-excluded",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | flat prior, chain 1",0.102347789026204,0.0180045729584138,0.190570216897118,"flat prior -- Mode A (theory-consistent)",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | flat prior, chain 2",-1.0179449218278,-1.29708226084009,-0.73339468275768,"flat prior -- Mode B (opposite sign)",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | flat prior, chain 3",0.104532695937303,0.0180635595365918,0.187038524465598,"flat prior -- Mode A (theory-consistent)",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | flat prior, chain 4",-1.02359227364444,-1.29449915307177,-0.733699425524147,"flat prior -- Mode B (opposite sign)",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | dispersed-init baseline, chain 1",0.110262054874883,0.0247945528852047,0.200375045071913,"dispersed-init baseline -- Mode A",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | dispersed-init baseline, chain 2",0.109280678958827,0.0235129533739156,0.197357239172828,"dispersed-init baseline -- Mode A",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | dispersed-init baseline, chain 3",0.109836911954583,0.0258890475090524,0.200006038264885,"dispersed-init baseline -- Mode A",TRUE,"betaDebt (Debt -> volatility)"
"betaDebt | dispersed-init baseline, chain 4",-0.672421666805934,-1.1151059680352,0.155642717443636,"dispersed-init baseline -- stray chain",TRUE,"betaDebt (Debt -> volatility)"
