"parameter","chain","mean","sd","q2.5","q97.5"
"omega",1,-0.513883528858508,0.0943486793744892,-0.694903842400539,-0.330040146700917
"omega",2,-3.6243364004286,0.271607053456211,-4.16540931120219,-3.1094747396679
"omega",3,-0.520002360384337,0.0916503138620319,-0.700390693584007,-0.342597534079549
"omega",4,-3.63307391369834,0.269480795540239,-4.17562756297013,-3.08689504311127
"alpha",1,0.740669950281409,0.0654662849659754,0.621828133354615,0.87440462666172
"alpha",2,0.344395227129557,0.139117206690953,0.0928651182491416,0.639317518695371
"alpha",3,0.739733891403446,0.0672996607302896,0.614312606171989,0.878345986078647
"alpha",4,0.353582153774116,0.149940130368373,0.100490352012156,0.692211165204846
"gamma",1,0.189364588464146,0.0561730733367361,0.0805606925217849,0.299977958049328
"gamma",2,0.446459646330859,0.124494579129185,0.174314005037919,0.665259404851221
"gamma",3,0.188935075577401,0.055461187499718,0.0811965044905868,0.298646232758738
"gamma",4,0.44567105402956,0.131923509898799,0.151120023647585,0.670257518655879
"phi",1,0.91382404261508,0.00962446137647638,0.895290606173084,0.932659140419409
"phi",2,0.563815798623076,0.0313604728473645,0.500511528212821,0.62219422341855
"phi",3,0.913154516667843,0.00926671578875859,0.895315885042451,0.930984446168612
"phi",4,0.562309598078133,0.0307906616106679,0.498170951893537,0.622205842663856
"betaGDP",1,-0.593815728491744,0.0391050229971166,-0.667991135810607,-0.518779997388278
"betaGDP",2,-0.662298930375434,0.0741548189926907,-0.80164701858329,-0.511785376108404
"betaGDP",3,-0.594086093569497,0.0395633237473728,-0.671040151217137,-0.515627914799462
"betaGDP",4,-0.665498672041321,0.0727713697793678,-0.79341659609422,-0.511505318114412
"betaDebt",1,0.102347789026204,0.0444373246410672,0.0180045729584138,0.190570216897118
"betaDebt",2,-1.0179449218278,0.142487142559094,-1.29708226084009,-0.73339468275768
"betaDebt",3,0.104532695937303,0.0433117971166513,0.0180635595365918,0.187038524465598
"betaDebt",4,-1.02359227364444,0.144207684343425,-1.29449915307177,-0.733699425524147
