"parameter","chain","mean","sd","q2.5","q97.5"
"omega",1,-0.517385781361262,0.096232829954335,-0.711668098275303,-0.333215736200972
"omega",2,-0.517315947288362,0.0939287188582012,-0.709153216022158,-0.340685957204945
"omega",3,-0.509952751163275,0.092884970299029,-0.691338227262517,-0.33443507435967
"omega",4,-2.95718876622374,1.18583253104155,-4.06648747097815,-0.412116854379681
"alpha",1,0.741922636899546,0.0658766627950176,0.616888906675033,0.884525881954706
"alpha",2,0.742311678219586,0.0677516507255511,0.612372154127958,0.889753597405856
"alpha",3,0.747061217973173,0.0689824611850289,0.616074188543259,0.891698209195201
"alpha",4,0.382894397618421,0.214744708893989,0.0583070971822294,0.808835665187796
"gamma",1,0.190666568500294,0.055083845505676,0.0785399747109298,0.29551300926114
"gamma",2,0.189375505675565,0.0543956511093081,0.0794198297671694,0.295752377819474
"gamma",3,0.188109794293411,0.0537377873036272,0.0783665158068991,0.290525687908538
"gamma",4,0.414137923997805,0.152176053245968,0.119371032168809,0.662482960458367
"phi",1,0.913418367808857,0.0096426896674152,0.894211836074756,0.931135269386996
"phi",2,0.913437888041084,0.00935544350618065,0.89452328130829,0.931096189052637
"phi",3,0.913825320121131,0.00943475567338049,0.895471425233878,0.931735658966075
"phi",4,0.640108085291888,0.132863675492155,0.515786533254768,0.924697751945064
"betaGDP",1,-0.592686785160878,0.0389254107985204,-0.668745879055855,-0.519856663827783
"betaGDP",2,-0.592403398420388,0.0382019651160619,-0.666085684971953,-0.517192381581341
"betaGDP",3,-0.592833372967497,0.0390103492151708,-0.667863830285234,-0.512811199440463
"betaGDP",4,-0.652618016331498,0.0731573899452228,-0.788993838127478,-0.515996528622903
"betaDebt",1,0.110262054874883,0.0440764357637474,0.0247945528852047,0.200375045071913
"betaDebt",2,0.109280678958827,0.0441123394746562,0.0235129533739156,0.197357239172828
"betaDebt",3,0.109836911954583,0.0447232000177246,0.0258890475090524,0.200006038264885
"betaDebt",4,-0.672421666805934,0.390321164738599,-1.1151059680352,0.155642717443636
