"parameter","chain","mean","sd","q2.5","q97.5"
"omega",1,-0.499295025076268,0.0941153757340067,-0.677358500782268,-0.303352385611245
"omega",2,-0.502566920358301,0.0981083011584099,-0.685843026629865,-0.308580300860821
"omega",3,-0.49993152996917,0.0959828678029524,-0.683433504563332,-0.317470785974539
"omega",4,-0.496397499012906,0.095483766606721,-0.680367394068634,-0.309874869030258
"alpha",1,0.787275096791916,0.0694315836255372,0.661361500881301,0.932623355427101
"alpha",2,0.786262312250713,0.0689647097507609,0.65717306552914,0.928667369419581
"alpha",3,0.787590054062675,0.068491322357035,0.665882640078114,0.930136208204756
"alpha",4,0.789151115842148,0.0679878835452097,0.666708063980503,0.930973587762916
"gamma",1,0.183684550200796,0.0551049936057252,0.0739240322224852,0.288818938703972
"gamma",2,0.183633676723179,0.056235664729871,0.0706500890856865,0.289833065704263
"gamma",3,0.181926337927175,0.0568279183091984,0.0654675749693622,0.292026540137434
"gamma",4,0.180841850052093,0.0559510846224014,0.0685827600155262,0.283626492434391
"phi",1,0.914645734226643,0.00953188632378889,0.896010200240672,0.932785014817907
"phi",2,0.914376317317778,0.00984801999085357,0.895771055347198,0.934016512666412
"phi",3,0.914607877973475,0.00967424619235193,0.895509675474702,0.932991222901573
"phi",4,0.914979559976016,0.00955560654242702,0.89616732167093,0.93411719770939
"betaGDP",1,-0.563964273229417,0.0379247173774528,-0.638359193087405,-0.49092937370027
"betaGDP",2,-0.56489000755473,0.0377590459833269,-0.637411899094119,-0.49385663537104
"betaGDP",3,-0.564770266606736,0.0396801932160148,-0.643700080339943,-0.485636382116083
"betaGDP",4,-0.562490917994467,0.0370761448269413,-0.634199509226185,-0.492234984029671
"betaDebt",1,0.159173163375137,0.0403479828433175,0.0767659721167634,0.236459138227008
"betaDebt",2,0.159616270996582,0.0395683320132882,0.0821537868907428,0.239170745808362
"betaDebt",3,0.159735737158873,0.038904999679171,0.0814654852578124,0.236660494821795
"betaDebt",4,0.16127529470302,0.0395809941681096,0.0823207490542341,0.240418829316879
