"parameter","chain","mean","q2.5","q97.5"
"omega",1,-3.09306514373832,-3.54044776833667,-2.64695030591727
"omega",2,-3.06245728431973,-3.49291327192473,-2.60626851855478
"omega",3,-3.07250860202761,-3.50222997589109,-2.64447280170208
"omega",4,-3.08139323920797,-3.53980228052714,-2.62729294455062
"alpha",1,0.933887517965003,0.777584055189532,1.13873038761606
"alpha",2,0.939332706204515,0.775451959644155,1.1608908051063
"alpha",3,0.937947745431099,0.769917381802248,1.14357728353016
"alpha",4,0.943142337531875,0.776471410489911,1.1494129142877
"gamma",1,-0.00228654712994545,-0.19146088771641,0.172290704787715
"gamma",2,0.00101865181496964,-0.191394458990884,0.177225945375787
"gamma",3,0.00170855816765842,-0.153494217029896,0.152922810037958
"gamma",4,-0.00537583393337265,-0.174596432939009,0.155940744972329
"phi",1,0.758091535947726,0.722726888373539,0.793165170023844
"phi",2,0.760488796278991,0.726546618537755,0.796115469827504
"phi",3,0.759670588359427,0.726137480614068,0.795627075990598
"phi",4,0.758775861143612,0.722216903518434,0.79655464735621
"betaGDP",1,-0.137602942659928,-0.334427168539996,0.04478335468064
"betaGDP",2,-0.137429046728493,-0.313019671513611,0.0329657658930869
"betaGDP",3,-0.147469194827425,-0.33556712566972,0.0250957367291684
"betaGDP",4,-0.13857380656126,-0.321863709234344,0.0454697105437412
"betaDebt",1,-0.520459367304819,-0.697510821501925,-0.334087542415963
"betaDebt",2,-0.516018930803191,-0.68739083874406,-0.309279690122062
"betaDebt",3,-0.524741929413299,-0.699611230704553,-0.341070106207577
"betaDebt",4,-0.521018929929714,-0.694471694976549,-0.33462389398462
"nu",1,4.0365391015756,4.00065617699135,4.1309247137589
"nu",2,4.03560050119855,4.00054520353814,4.12354506281265
"nu",3,4.03793005477193,4.00095340218494,4.14745121846052
"nu",4,4.03921169516706,4.00242566721359,4.12978300891831
"beta2",1,0.0162459343656277,-0.0568449614054043,0.079161821803056
"beta2",2,0.0133488234944956,-0.0628087275741918,0.0744629981004586
"beta2",3,0.0150382515134719,-0.0633778476455847,0.0798464335690244
"beta2",4,0.0119330109236862,-0.0681036404723574,0.0746006501496936
