year,exchange_rate_NGN_per_USD,gdp_growth_pct,debt_service_pct_exports,debt_service_USD
1980,0.55,4.20,4.15,1150777021.2
1981,0.62,-13.13,9.20,1790645497.7
1982,0.67,-6.80,16.23,2090338334.9
1983,0.72,-10.92,23.61,2565375212.0
1984,0.77,-1.12,32.94,4067491742.7
1985,0.89,5.91,32.78,4428665434.0
1986,1.75,0.06,38.04,2050752904.8
1987,4.02,3.20,14.13,1106408447.1
1988,4.54,7.33,30.37,2210430888.8
1989,7.36,1.92,24.69,2117492334.5
1990,8.04,11.78,22.60,3335551233.7
1991,9.91,0.36,22.06,2944761131.1
1992,17.30,4.63,18.57,2414572768.9
1993,22.07,-2.04,13.40,1490998007.2
1994,21.996,-1.81,18.95,1871673345.8
1995,21.90,-0.07,14.73,1832902393.8
1996,21.88,4.20,13.14,2228632518.2
1997,21.89,2.94,8.71,1415894564.0
1998,21.89,2.58,13.07,1331987636.3
1999,92.34,0.58,7.61,1072056304.1
2000,101.70,5.02,9.03,1911923173.4
2001,111.23,5.92,13.14,2607291175.7
2002,120.58,15.33,8.40,1539272903.4
2003,129.22,7.35,6.19,1703856323.0
2004,132.89,9.25,4.84,1852366187.4
2005,131.27,6.44,16.40,9370468717.6
2006,128.65,6.06,11.58,7075842518.9
2007,125.81,6.59,2.37,1662176550.8
2008,118.57,6.76,0.89,803434465.7
2009,148.88,8.04,1.09,647614385.3
2010,150.30,8.01,0.72,599489679.0
2011,153.86,5.31,0.68,699532678.4
2012,157.50,4.23,0.85,847657020.0
2013,157.31,6.67,1.05,1049500486.6
2014,158.55,6.31,2.74,2366107404.4
2015,192.44,2.65,4.78,2391364787.3
2016,253.49,-1.62,12.81,5082749559.8
2017,305.79,0.81,7.40,3873616529.4
2018,306.08,1.92,8.46,5759214558.1
2019,306.92,2.21,9.24,6674995271.9
2020,358.81,-6.37,13.09,5451641025.3
