date,usd_per_ngn_yahoo,ngn_per_usd_derived,notes
2003-12-01,0.007299,136.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-02-01,0.007407,134.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-04-01,0.007380,135.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-06-01,0.007519,133.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-08-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-10-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2004-12-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-02-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-04-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-06-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-08-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-10-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2005-12-01,0.007722,129.51,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-02-01,0.007722,129.51,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-04-01,0.007722,129.51,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-06-01,0.007675,130.29,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-08-01,0.007692,130.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-10-01,0.007678,130.24,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2006-12-01,0.007628,131.10,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-02-01,0.007513,133.10,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-04-01,0.007678,130.24,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-06-01,0.007782,128.51,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-08-01,0.007813,128.00,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-10-01,0.007752,128.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2007-12-01,0.007680,130.21,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-02-01,0.007843,127.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-04-01,0.007843,127.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-06-01,0.008199,121.96,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-08-01,0.008190,122.10,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-10-01,0.007843,127.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2008-12-01,0.008187,122.14,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-02-01,0.008156,122.61,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-04-01,0.008151,122.69,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-06-01,0.008155,122.62,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-08-01,0.008197,121.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-10-01,0.008163,122.50,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2009-12-01,0.008110,123.30,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-02-01,0.008206,121.86,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-04-01,0.008153,122.66,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-06-01,0.008191,122.09,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-08-01,0.008192,122.07,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-10-01,0.007981,125.29,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2010-12-01,0.008023,124.64,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-02-01,0.007999,125.01,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-04-01,0.008039,124.39,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-06-01,0.008186,122.16,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-08-01,0.008404,118.99,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-10-01,0.008482,117.90,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2011-12-01,0.008523,117.34,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-02-01,0.008616,116.06,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-04-01,0.008678,115.23,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-06-01,0.008654,115.55,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-08-01,0.008666,115.39,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-10-01,0.008654,115.55,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2012-12-01,0.008617,116.05,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-02-01,0.008623,115.97,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-04-01,0.008648,115.63,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-06-01,0.008522,117.34,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-08-01,0.008654,115.55,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-10-01,0.008470,118.06,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2013-12-01,0.007374,135.62,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2014-02-01,0.006949,143.90,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2014-04-01,0.006866,145.65,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2014-06-01,0.006791,147.25,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2014-08-01,0.006777,147.56,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
2014-10-01,0.006869,145.58,Yahoo Finance NGNUSD=X — see caveats in data_sources.md
