"parameter","chain","mean","q2.5","q97.5"
"omega",1,-3.04972877982886,-3.48069029493282,-2.58281031170358
"omega",2,-3.05380484614209,-3.51319454647409,-2.57724617201626
"omega",3,-3.0349255742659,-3.47006890347996,-2.56368666599911
"omega",4,-3.03214032724732,-3.45635748539164,-2.58127080316513
"alpha",1,0.937045378723503,0.781591050303113,1.14969941686813
"alpha",2,0.940212441783358,0.778085849853216,1.12358798740121
"alpha",3,0.939592122960202,0.781258413082655,1.13348106962684
"alpha",4,0.941837247823816,0.76766952041824,1.16205396121349
"gamma",1,0.00505019643991587,-0.166678984276324,0.181682463641007
"gamma",2,0.00196075799046987,-0.187124914171345,0.173278697058675
"gamma",3,0.00497105960910927,-0.183372078617891,0.17238647508697
"gamma",4,0.0049844258322466,-0.177278989423441,0.190999266862723
"phi",1,0.761442328733774,0.727072635640754,0.799929449075866
"phi",2,0.760581419813151,0.723981656869778,0.800634581740939
"phi",3,0.762137457181928,0.728086208782382,0.800882193426429
"phi",4,0.762291646495921,0.728882746954219,0.796663827957046
"betaGDP",1,-0.137390656678639,-0.322940309958944,0.0326142544867236
"betaGDP",2,-0.131052912400629,-0.303481086949963,0.0335280505662158
"betaGDP",3,-0.13836146583455,-0.32266351482916,0.0423678315135671
"betaGDP",4,-0.133383989155865,-0.313124050164686,0.0388159207237442
"betaDebt",1,-0.520234010805848,-0.698824309005215,-0.343412145058676
"betaDebt",2,-0.51973981658001,-0.684129685076719,-0.342559102074516
"betaDebt",3,-0.52244463686446,-0.687359452984634,-0.348124384817064
"betaDebt",4,-0.518347118157503,-0.683552392267173,-0.343331425618602
"nu",1,4.03581449411665,4.00051454550226,4.12474107837768
"nu",2,4.03614377039054,4.00107905273752,4.13009528433534
"nu",3,4.03820898103231,4.00057273681979,4.14947743981961
"nu",4,4.03712218883805,4.00044002880579,4.13438961832115
