"parameter","mean","sd","ci_2.5","ci_50","ci_97.5","n_eff","rhat"
"beta0",-1.09872433897999e-07,3.04461176607129e-05,-5.85097725728688e-05,-1.3889653240735e-06,6.24699586311113e-05,3053.82998605849,1.00202515897806
"betaExR",0.12865933691746,0.0661465093143468,-0.0131357378443824,0.13076595933318,0.252328630851487,2705.40324156892,1.0005988310189
"beta2",0.0141415050743204,0.0339282278292013,-0.0629452922312619,0.0159606654223085,0.0765205525204196,2609.878312434,1.00080348574001
"omega",-3.07735606732341,0.230645529075488,-3.52121332615072,-3.08034304207151,-2.63275914887862,1365.04844132542,1.00111203236917
"alpha",0.938577576783123,0.0953813249696372,0.774734187512672,0.931592478389667,1.15111661797539,1844.43940623754,1.00206309906532
"gamma",-0.00123379277017251,0.0840095526217022,-0.177096424195733,0.00259649122787498,0.162615497793127,2226.75543646016,1.00066002915653
"phi",0.759256695432439,0.0186567592924419,0.723781128954873,0.75866762901423,0.795607650081487,1361.79479328272,1.00146666571123
"betaGDP",-0.140268747694276,0.0935237226129312,-0.326520462185391,-0.140157409237866,0.0383834237712916,2031.68593275943,1.00177128063973
"betaDebt",-0.520559789362756,0.0933730143130923,-0.695966072341697,-0.521338202151246,-0.333902471195595,1730.15085020455,1.00103668017007
"nu",4.03732033817829,0.0364333478024019,4.00083499780989,4.02616814431886,4.13524867653096,3503.90675497374,1.00017217678454
